shipment_id,route_id,synthetic_shipment_date,commodity_type,commodity_temp_ideal_c,commodity_shelf_life_hours,commodity_delay_tolerance_hours,transport_mode,distance_km,estimated_duration_hours,wave_height_m,wave_category,wind_speed_kmh,weather_condition,port_status_flag,port_ambient_temp_c,cold_chain_equipment,max_cargo_temp_excess_c,historical_delay_avg_hours,historical_damage_rate,departure_hour,risk_score,risk_level
synthetic-014208,kombinasi-047,2024-08-05,Ayam Segar,2.0,48,6,kombinasi,1197.0,47.96,1.555,Sedang,16.06,Berawan,1,33.36,reefer,0.0,23.63,0.3158,2,71.83,Medium
synthetic-008555,laut-050,2024-08-05,Ayam Segar,2.0,48,6,laut,1979.6,79.73,1.327,Sedang,14.34,Cerah Berawan,1,28.2,reefer,0.0,27.3,0.3136,8,72.2,Medium
synthetic-008939,laut-056,2024-08-05,Es Krim,-19.0,2160,2,laut,1602.8,67.16,0.983,Rendah,5.0,Cerah,1,30.4,pasif,50.32,21.3,0.3194,22,73.33,Medium
synthetic-003483,darat-048,2024-08-05,Daging Sapi Segar,1.5,120,12,darat,402.1,8.99,0.0,Tenang,17.12,Cerah,1,30.0,reefer,0.0,5.9,0.0866,21,35.36,Low
synthetic-014236,kombinasi-048,2024-08-05,Tuna Segar,0.5,96,4,kombinasi,3887.4,142.75,2.927,Tinggi,26.49,Hujan Sedang,0,27.97,pasif,31.06,57.02,0.3952,8,90.0,High
synthetic-000166,darat-001,2024-08-05,Ayam Segar,2.0,48,6,darat,120.7,2.81,0.0,Tenang,5.0,Cerah,1,30.0,reefer,0.0,4.59,0.0712,4,31.28,Low
synthetic-001287,darat-017,2024-08-05,Daging Sapi Segar,1.5,120,12,darat,127.8,2.8,0.0,Tenang,18.15,Cerah Berawan,1,30.0,reefer,0.0,3.84,0.0841,0,14.64,Low
synthetic-007619,laut-037,2024-08-06,Salmon Segar,0.5,72,6,laut,2902.7,115.02,0.728,Rendah,8.5,Cerah,1,30.44,reefer,0.0,38.0,0.3235,0,67.14,Medium
synthetic-009174,laut-059,2024-08-06,Es Krim,-19.0,2160,2,laut,2374.5,98.73,3.326,Tinggi,30.16,Berawan Tebal,0,24.42,pasif,51.53,36.25,0.318,19,90.0,High
synthetic-012694,kombinasi-028,2024-08-06,Udang Beku,-19.0,4320,48,kombinasi,2667.2,98.64,0.048,Tenang,5.0,Cerah Berawan,1,29.45,reefer,0.0,37.81,0.2716,23,45.16,Low
synthetic-010584,kombinasi-000,2024-08-06,Daging Sapi Segar,1.5,120,12,kombinasi,3120.8,111.87,4.79,Sangat Tinggi,54.04,Berawan Tebal,0,28.24,reefer,0.0,48.31,0.3985,9,93.33,High
synthetic-012470,kombinasi-024,2024-08-06,Tuna Segar,0.5,96,4,kombinasi,1110.8,47.03,1.302,Sedang,15.37,Hujan Ringan,1,32.71,reefer,0.0,22.35,0.3104,22,68.2,Medium
synthetic-005933,laut-014,2024-08-06,Tuna Segar,0.5,96,4,laut,1014.7,51.73,2.009,Sedang,23.56,Cerah Berawan,1,28.59,reefer,0.0,16.25,0.2609,9,63.66,Medium
synthetic-009128,laut-058,2024-08-06,Susu Segar,2.5,168,8,laut,613.0,27.96,1.463,Sedang,10.74,Cerah Berawan,1,33.9,reefer,0.0,14.48,0.2212,20,59.51,Low
synthetic-003647,darat-050,2024-08-06,Udang Segar,2.0,48,4,darat,306.1,7.22,0.0,Tenang,14.52,Berawan,1,30.0,reefer,0.0,6.72,0.0849,5,43.34,Low
synthetic-003670,darat-050,2024-08-06,Salmon Segar,0.5,72,6,darat,306.1,6.49,0.0,Tenang,15.96,Berawan,1,30.0,reefer,0.0,6.72,0.0849,11,39.49,Low
synthetic-004094,darat-056,2024-08-06,Sayuran Daun Segar,2.0,72,6,darat,206.2,4.16,0.0,Tenang,15.55,Hujan Ringan,1,30.0,pasif,20.28,4.21,0.0873,15,57.95,Low
synthetic-007135,laut-030,2024-08-06,Salmon Segar,0.5,72,6,laut,2377.9,94.12,1.864,Sedang,16.93,Berawan,1,29.61,reefer,0.0,35.73,0.3876,23,76.67,Medium
synthetic-008328,laut-047,2024-08-06,Susu Segar,2.5,168,8,laut,127.9,16.78,1.621,Sedang,19.25,Berawan,1,27.25,reefer,0.0,7.79,0.1099,5,49.5,Low
synthetic-002479,darat-032,2024-08-06,Ayam Segar,2.0,48,6,darat,174.7,3.68,0.0,Tenang,21.78,Berawan,1,30.0,reefer,0.0,7.5,0.0748,13,42.66,Low
synthetic-008765,laut-053,2024-08-06,Sayuran Daun Segar,2.0,72,6,laut,2656.1,95.02,0.5,Tenang,5.0,Cerah,1,27.01,reefer,0.0,38.92,0.3854,2,67.98,Medium
synthetic-001055,darat-013,2024-08-06,Ayam Segar,2.0,48,6,darat,550.3,12.14,0.0,Tenang,10.94,Cerah Berawan,1,30.0,reefer,0.0,5.47,0.1016,5,42.97,Low
synthetic-004090,darat-056,2024-08-06,Udang Segar,2.0,48,4,darat,206.2,4.17,0.0,Tenang,16.63,Berawan,1,30.0,reefer,0.0,4.21,0.0873,18,38.64,Low
synthetic-001616,darat-021,2024-08-06,Daging Sapi Segar,1.5,120,12,darat,155.2,3.39,0.0,Tenang,5.0,Cerah,1,30.0,reefer,0.0,1.0,0.0768,0,12.02,Low
synthetic-006164,laut-018,2024-08-06,Ayam Segar,2.0,48,6,laut,1980.3,81.98,5.551,Sangat Tinggi,52.88,Hujan Badai,0,28.86,reefer,0.0,31.76,0.3939,19,93.33,High
synthetic-006930,laut-027,2024-08-06,Udang Segar,2.0,48,4,laut,518.1,30.41,2.15,Sedang,12.92,Berawan,1,27.4,reefer,0.0,21.88,0.2735,12,68.15,Medium
synthetic-006483,laut-021,2024-08-06,Ayam Segar,2.0,48,6,laut,2599.4,93.44,4.495,Sangat Tinggi,44.4,Berawan Tebal,0,28.25,reefer,0.0,37.38,0.3775,2,93.33,High
synthetic-000244,darat-002,2024-08-06,Susu Segar,2.5,168,8,darat,422.7,9.57,0.0,Tenang,23.45,Cerah Berawan,1,30.0,reefer,0.0,7.14,0.0906,17,29.54,Low
synthetic-006474,laut-021,2024-08-06,Es Krim,-19.0,2160,2,laut,2599.4,91.42,0.359,Tenang,5.0,Cerah,1,31.78,reefer,0.0,37.38,0.3775,20,66.81,Medium
synthetic-003952,darat-055,2024-08-06,Es Krim,-19.0,2160,2,darat,159.9,3.43,0.0,Tenang,18.7,Hujan Ringan,1,30.0,reefer,0.0,2.29,0.0932,10,34.07,Low
synthetic-009986,laut-072,2024-08-06,Ayam Segar,2.0,48,6,laut,1768.6,66.88,1.357,Sedang,18.31,Hujan Ringan,1,25.26,reefer,0.0,22.92,0.3172,15,72.23,Medium
synthetic-005496,laut-007,2024-08-06,Salmon Segar,0.5,72,6,laut,992.0,46.27,1.924,Sedang,18.19,Berawan,1,31.83,pasif,30.59,18.2,0.2522,20,76.67,Medium
synthetic-013640,kombinasi-039,2024-08-06,Buah Potong Segar,3.0,48,4,kombinasi,1759.6,72.19,1.044,Rendah,7.54,Berawan,1,26.73,reefer,0.0,29.53,0.2723,22,60.46,Low
synthetic-005539,laut-008,2024-08-06,Tuna Segar,0.5,96,4,laut,623.5,33.36,1.192,Rendah,8.09,Cerah,1,26.42,reefer,0.0,11.16,0.1549,14,51.72,Low
synthetic-007883,laut-041,2024-08-06,Tuna Segar,0.5,96,4,laut,1363.1,59.47,2.138,Sedang,21.95,Cerah Berawan,1,27.89,reefer,0.0,20.19,0.2279,5,61.7,Low
synthetic-010108,laut-074,2024-08-06,Susu Segar,2.5,168,8,laut,908.5,40.63,0.311,Tenang,5.0,Berawan,1,28.64,reefer,0.0,15.98,0.1817,14,48.02,Low
synthetic-012147,kombinasi-020,2024-08-06,Susu Segar,2.5,168,8,kombinasi,1749.6,69.42,1.431,Sedang,14.57,Cerah Berawan,1,30.8,reefer,0.0,31.3,0.3968,21,72.6,Medium
synthetic-013544,kombinasi-038,2024-08-06,Daging Sapi Segar,1.5,120,12,kombinasi,319.4,21.12,0.689,Rendah,6.14,Cerah Berawan,1,28.73,reefer,0.0,13.95,0.129,16,46.07,Low
synthetic-014349,kombinasi-049,2024-08-06,Tuna Segar,0.5,96,4,kombinasi,1073.4,46.02,1.926,Sedang,19.85,Hujan Ringan,1,26.6,reefer,0.0,24.25,0.2947,3,69.35,Medium
synthetic-006072,laut-017,2024-08-07,Tuna Segar,0.5,96,4,laut,964.6,43.75,1.92,Sedang,26.07,Hujan Ringan,1,32.38,pasif,30.44,19.12,0.2588,12,76.67,Medium
synthetic-003071,darat-040,2024-08-07,Udang Segar,2.0,48,4,darat,420.6,9.03,0.0,Tenang,12.58,Cerah,1,30.0,reefer,0.0,8.23,0.0941,1,41.37,Low
synthetic-007139,laut-030,2024-08-07,Salmon Segar,0.5,72,6,laut,2377.9,93.25,1.759,Sedang,19.15,Hujan Ringan,1,29.35,reefer,0.0,35.73,0.3876,23,76.67,Medium
synthetic-010131,laut-074,2024-08-07,Daging Sapi Segar,1.5,120,12,laut,908.5,44.89,0.577,Rendah,5.0,Berawan,1,28.47,reefer,0.0,15.98,0.1817,13,52.81,Low
synthetic-006601,laut-023,2024-08-07,Daging Sapi Segar,1.5,120,12,laut,1054.7,49.09,2.213,Sedang,16.86,Cerah Berawan,1,25.69,pasif,28.1,18.72,0.2845,0,76.67,Medium
synthetic-003348,darat-046,2024-08-07,Udang Beku,-19.0,4320,48,darat,460.1,10.3,0.0,Tenang,6.43,Cerah Berawan,1,30.0,reefer,0.0,6.13,0.0978,21,16.32,Low
synthetic-008627,laut-051,2024-08-07,Sayuran Daun Segar,2.0,72,6,laut,1050.0,49.93,0.729,Rendah,5.0,Cerah Berawan,1,22.61,reefer,0.0,18.49,0.1977,1,55.58,Low
synthetic-012547,kombinasi-025,2024-08-07,Udang Beku,-19.0,4320,48,kombinasi,359.3,19.58,0.623,Rendah,8.54,Berawan,1,32.78,reefer,0.0,10.84,0.1322,12,22.17,Low
synthetic-005413,laut-006,2024-08-07,Tuna Segar,0.5,96,4,laut,661.8,35.1,0.796,Rendah,10.95,Cerah,1,29.69,reefer,0.0,15.43,0.146,7,49.64,Low
synthetic-005764,laut-012,2024-08-07,Sayuran Daun Segar,2.0,72,6,laut,90.9,15.57,1.304,Sedang,12.05,Hujan Ringan,1,32.01,reefer,0.0,5.88,0.094,19,51.82,Low
synthetic-001125,darat-014,2024-08-07,Salmon Segar,0.5,72,6,darat,346.8,8.01,0.0,Tenang,30.72,Cerah Berawan,1,30.0,reefer,0.0,6.3,0.0835,19,42.78,Low
synthetic-006209,laut-018,2024-08-07,Es Krim,-19.0,2160,2,laut,1980.3,84.86,3.636,Tinggi,25.44,Hujan Lebat,0,32.82,reefer,0.0,31.76,0.3939,19,89.17,High
synthetic-001992,darat-026,2024-08-07,Ayam Segar,2.0,48,6,darat,362.9,7.94,0.0,Tenang,9.3,Cerah Berawan,1,30.0,reefer,0.0,5.3,0.0911,5,41.53,Low
synthetic-006414,laut-020,2024-08-07,Ayam Segar,2.0,48,6,laut,1449.4,66.86,0.327,Tenang,5.0,Cerah,1,29.15,reefer,0.0,17.12,0.2418,1,54.28,Low
synthetic-001717,darat-022,2024-08-07,Udang Segar,2.0,48,4,darat,588.3,12.7,0.0,Tenang,17.07,Cerah,1,30.0,pasif,22.53,8.45,0.1162,2,70.0,Medium
synthetic-005441,laut-006,2024-08-07,Es Krim,-19.0,2160,2,laut,661.8,36.62,0.523,Rendah,5.61,Cerah Berawan,1,32.3,reefer,0.0,15.43,0.146,19,49.21,Low
synthetic-009508,laut-064,2024-08-08,Buah Potong Segar,3.0,48,4,laut,2282.1,84.48,3.509,Tinggi,33.65,Berawan Tebal,0,24.2,reefer,0.0,33.27,0.3238,3,86.15,High
synthetic-014280,kombinasi-048,2024-08-08,Udang Beku,-19.0,4320,48,kombinasi,3887.4,146.89,5.286,Sangat Tinggi,42.84,Hujan Badai,0,34.31,reefer,0.0,57.02,0.3952,17,90.74,High
synthetic-004612,darat-064,2024-08-08,Buah Potong Segar,3.0,48,4,darat,411.3,9.15,0.0,Tenang,17.54,Cerah,1,30.0,reefer,0.0,2.91,0.0878,6,40.97,Low
synthetic-000395,darat-004,2024-08-08,Udang Beku,-19.0,4320,48,darat,63.8,1.47,0.0,Tenang,7.81,Cerah,1,30.0,reefer,0.0,3.97,0.0704,12,12.26,Low
synthetic-004156,darat-057,2024-08-08,Tuna Segar,0.5,96,4,darat,711.9,16.01,0.0,Tenang,7.3,Cerah,1,30.0,pasif,30.93,10.3,0.1097,6,70.0,Medium
synthetic-007885,laut-041,2024-08-08,Salmon Segar,0.5,72,6,laut,1363.1,61.19,0.198,Tenang,8.27,Cerah Berawan,1,32.67,reefer,0.0,20.19,0.2279,2,54.76,Low
synthetic-000733,darat-009,2024-08-08,Es Krim,-19.0,2160,2,darat,137.6,3.09,0.0,Tenang,8.64,Cerah,1,30.0,reefer,0.0,2.32,0.0739,16,38.98,Low
synthetic-004800,darat-068,2024-08-08,Tuna Segar,0.5,96,4,darat,455.8,10.12,0.0,Tenang,17.13,Cerah Berawan,1,30.0,reefer,0.0,8.2,0.0941,5,41.35,Low
synthetic-002423,darat-031,2024-08-08,Ayam Segar,2.0,48,6,darat,188.1,4.0,0.0,Tenang,21.29,Cerah,1,30.0,reefer,0.0,4.23,0.0731,21,13.58,Low
synthetic-010560,kombinasi-000,2024-08-08,Buah Potong Segar,3.0,48,4,kombinasi,3120.8,106.34,5.424,Sangat Tinggi,56.64,Hujan Lebat,0,35.83,pasif,28.85,48.31,0.3985,2,93.33,High
synthetic-010530,kombinasi-000,2024-08-08,Sayuran Daun Segar,2.0,72,6,kombinasi,3120.8,111.27,10.679,Sangat Ekstrem,107.69,Hujan Badai,0,26.35,pasif,29.6,48.31,0.3985,0,100.0,High
synthetic-002925,darat-039,2024-08-08,Tuna Segar,0.5,96,4,darat,394.2,8.42,0.0,Tenang,10.62,Cerah,1,30.0,pasif,28.9,5.47,0.0908,12,70.0,Medium
synthetic-001375,darat-018,2024-08-08,Es Krim,-19.0,2160,2,darat,462.4,10.7,0.0,Tenang,6.85,Cerah,1,30.0,reefer,0.0,4.25,0.0907,14,39.83,Low
synthetic-005753,laut-011,2024-08-08,Daging Sapi Segar,1.5,120,12,laut,216.2,20.61,3.972,Tinggi,33.4,Hujan Sedang,0,31.81,reefer,0.0,14.99,0.2349,9,77.12,Medium
synthetic-000561,darat-006,2024-08-08,Es Krim,-19.0,2160,2,darat,273.4,6.21,0.0,Tenang,29.77,Berawan,1,30.0,pasif,45.43,3.98,0.0902,15,63.41,Medium
synthetic-011294,kombinasi-010,2024-08-08,Udang Beku,-19.0,4320,48,kombinasi,947.5,40.8,2.988,Tinggi,33.84,Hujan Sedang,0,27.36,pasif,49.42,26.34,0.3554,3,72.02,Medium
synthetic-014263,kombinasi-048,2024-08-09,Salmon Segar,0.5,72,6,kombinasi,3887.4,135.87,4.514,Sangat Tinggi,45.6,Berawan Tebal,0,29.21,pasif,32.26,57.02,0.3952,12,93.33,High
synthetic-011238,kombinasi-009,2024-08-09,Ayam Segar,2.0,48,6,kombinasi,4031.6,137.18,2.553,Tinggi,28.69,Berawan Tebal,0,26.44,reefer,0.0,58.62,0.3993,5,90.0,High
synthetic-003976,darat-055,2024-08-09,Udang Segar,2.0,48,4,darat,159.9,3.13,0.0,Tenang,11.22,Cerah,1,30.0,pasif,9.82,2.29,0.0932,20,47.43,Low
synthetic-006997,laut-028,2024-08-09,Udang Beku,-19.0,4320,48,laut,1066.5,49.55,1.048,Rendah,17.57,Cerah Berawan,1,28.47,pasif,48.42,14.93,0.1943,22,33.77,Low
synthetic-010872,kombinasi-004,2024-08-09,Salmon Segar,0.5,72,6,kombinasi,1133.6,46.04,5.214,Sangat Tinggi,52.97,Hujan Lebat,0,27.21,reefer,0.0,26.42,0.3698,7,93.33,High
synthetic-005324,laut-005,2024-08-09,Susu Segar,2.5,168,8,laut,1320.8,58.32,1.293,Sedang,11.95,Berawan,1,30.94,reefer,0.0,21.0,0.2383,21,59.89,Low
synthetic-010788,kombinasi-003,2024-08-09,Sayuran Daun Segar,2.0,72,6,kombinasi,2801.7,113.78,0.604,Rendah,7.88,Cerah Berawan,1,25.13,reefer,0.0,43.11,0.4069,13,73.33,Medium
synthetic-000555,darat-006,2024-08-09,Sayuran Daun Segar,2.0,72,6,darat,273.4,6.24,0.0,Tenang,26.41,Cerah,1,30.0,reefer,0.0,3.98,0.0902,15,40.34,Low
synthetic-013337,kombinasi-036,2024-08-09,Daging Sapi Segar,1.5,120,12,kombinasi,1256.9,56.16,2.167,Sedang,16.39,Berawan,1,32.03,reefer,0.0,25.4,0.3833,21,72.58,Medium
synthetic-013418,kombinasi-037,2024-08-09,Udang Beku,-19.0,4320,48,kombinasi,2861.2,104.54,1.709,Sedang,19.66,Berawan,1,32.54,pasif,51.64,40.92,0.3373,0,64.41,Medium
synthetic-000377,darat-004,2024-08-09,Daging Sapi Segar,1.5,120,12,darat,63.8,1.41,0.0,Tenang,23.53,Cerah,1,30.0,pasif,23.88,3.97,0.0704,13,24.03,Low
synthetic-007594,laut-037,2024-08-09,Salmon Segar,0.5,72,6,laut,2902.7,123.23,1.752,Sedang,16.37,Cerah Berawan,1,26.26,reefer,0.0,38.0,0.3235,1,76.67,Medium
synthetic-013146,kombinasi-034,2024-08-09,Salmon Segar,0.5,72,6,kombinasi,549.3,28.01,0.546,Rendah,13.93,Berawan,1,32.7,reefer,0.0,15.99,0.1512,5,50.23,Low
synthetic-002501,darat-032,2024-08-09,Tuna Segar,0.5,96,4,darat,174.7,3.98,0.0,Tenang,10.04,Cerah,1,30.0,reefer,0.0,7.5,0.0748,22,38.73,Low
synthetic-001002,darat-013,2024-08-09,Es Krim,-19.0,2160,2,darat,550.3,12.15,0.0,Tenang,16.7,Hujan Ringan,1,30.0,reefer,0.0,5.47,0.1016,10,38.46,Low
synthetic-007646,laut-038,2024-08-09,Udang Beku,-19.0,4320,48,laut,607.4,34.71,0.468,Tenang,5.0,Cerah,1,28.18,reefer,0.0,8.95,0.1501,5,20.86,Low
synthetic-009623,laut-066,2024-08-09,Buah Potong Segar,3.0,48,4,laut,198.8,18.36,4.849,Sangat Tinggi,49.11,Hujan Badai,0,27.47,pasif,28.67,12.8,0.2353,22,93.33,High
synthetic-002513,darat-032,2024-08-09,Buah Potong Segar,3.0,48,4,darat,174.7,3.95,0.0,Tenang,20.96,Hujan Ringan,1,30.0,reefer,0.0,7.5,0.0748,16,40.35,Low
synthetic-005116,laut-002,2024-08-09,Sayuran Daun Segar,2.0,72,6,laut,1167.7,51.11,16.22,Sangat Ekstrem,110.0,Hujan Badai,0,28.39,reefer,0.0,27.4,0.36,10,100.0,High
synthetic-000536,darat-006,2024-08-09,Es Krim,-19.0,2160,2,darat,273.4,6.22,0.0,Tenang,16.43,Cerah Berawan,1,30.0,reefer,0.0,3.98,0.0902,10,38.77,Low
synthetic-009773,laut-069,2024-08-09,Tuna Segar,0.5,96,4,laut,1885.5,78.74,3.719,Tinggi,35.56,Hujan Lebat,0,24.73,reefer,0.0,31.56,0.3885,15,90.0,High
synthetic-005886,laut-013,2024-08-10,Buah Potong Segar,3.0,48,4,laut,3938.8,149.66,2.125,Sedang,18.44,Berawan,1,29.4,pasif,29.61,50.19,0.3255,21,76.67,Medium
synthetic-002117,darat-028,2024-08-10,Daging Sapi Segar,1.5,120,12,darat,333.7,7.67,0.0,Tenang,12.36,Cerah,1,30.0,reefer,0.0,4.67,0.0932,18,17.31,Low
synthetic-008821,laut-054,2024-08-10,Ayam Segar,2.0,48,6,laut,604.4,32.6,0.173,Tenang,10.08,Cerah Berawan,1,26.72,pasif,29.61,10.79,0.1441,21,70.0,Medium
synthetic-003291,darat-045,2024-08-10,Salmon Segar,0.5,72,6,darat,291.4,6.49,0.0,Tenang,7.51,Cerah Berawan,1,30.0,reefer,0.0,4.71,0.0815,15,40.14,Low
synthetic-011822,kombinasi-017,2024-08-10,Susu Segar,2.5,168,8,kombinasi,1414.4,54.9,5.219,Sangat Tinggi,50.66,Hujan Lebat,0,32.5,reefer,0.0,29.07,0.3327,2,89.78,High
synthetic-001026,darat-013,2024-08-10,Susu Segar,2.5,168,8,darat,550.3,13.02,0.0,Tenang,17.33,Cerah,1,30.0,reefer,0.0,5.47,0.1016,9,24.61,Low
synthetic-010632,kombinasi-001,2024-08-10,Tuna Segar,0.5,96,4,kombinasi,980.1,45.36,3.284,Tinggi,38.4,Hujan Sedang,0,25.82,pasif,31.47,18.59,0.2783,8,90.0,High
synthetic-011255,kombinasi-009,2024-08-10,Ayam Segar,2.0,48,6,kombinasi,4031.6,155.34,2.683,Tinggi,30.5,Berawan Tebal,0,26.31,reefer,0.0,58.62,0.3993,0,90.0,High
synthetic-013862,kombinasi-043,2024-08-10,Es Krim,-19.0,2160,2,kombinasi,1581.0,57.56,0.378,Tenang,6.19,Berawan,1,27.01,pasif,50.63,25.06,0.2681,8,70.0,Medium
synthetic-012496,kombinasi-025,2024-08-10,Es Krim,-19.0,2160,2,kombinasi,359.3,19.69,0.197,Tenang,5.0,Berawan,1,31.2,pasif,43.1,10.84,0.1322,4,64.87,Medium
synthetic-013541,kombinasi-038,2024-08-10,Daging Sapi Segar,1.5,120,12,kombinasi,319.4,20.86,0.854,Rendah,10.5,Cerah Berawan,1,30.82,pasif,30.19,13.95,0.129,1,61.17,Low
synthetic-000701,darat-008,2024-08-10,Udang Segar,2.0,48,4,darat,247.1,5.54,0.0,Tenang,26.87,Cerah,1,30.0,reefer,0.0,5.34,0.0864,18,42.88,Low
synthetic-011411,kombinasi-011,2024-08-10,Susu Segar,2.5,168,8,kombinasi,2276.4,88.67,0.398,Tenang,5.0,Berawan,1,28.93,reefer,0.0,33.8,0.2666,21,54.99,Low
synthetic-002553,darat-033,2024-08-10,Buah Potong Segar,3.0,48,4,darat,141.4,3.08,0.0,Tenang,17.16,Berawan,1,30.0,pasif,17.02,4.05,0.0856,1,48.65,Low
synthetic-007424,laut-034,2024-08-10,Sayuran Daun Segar,2.0,72,6,laut,533.8,30.14,0.587,Rendah,5.0,Cerah Berawan,1,32.08,reefer,0.0,13.24,0.1288,19,47.19,Low
synthetic-013033,kombinasi-032,2024-08-10,Udang Segar,2.0,48,4,kombinasi,892.2,38.85,0.209,Tenang,5.0,Cerah,1,32.79,reefer,0.0,23.11,0.2816,17,58.86,Low
synthetic-013419,kombinasi-037,2024-08-10,Daging Sapi Segar,1.5,120,12,kombinasi,2861.2,108.72,1.264,Sedang,20.37,Berawan,1,28.4,reefer,0.0,40.92,0.3373,22,76.67,Medium
synthetic-006411,laut-020,2024-08-10,Salmon Segar,0.5,72,6,laut,1449.4,58.81,0.664,Rendah,9.39,Cerah Berawan,1,35.41,pasif,30.08,17.12,0.2418,21,73.33,Medium
synthetic-003745,darat-052,2024-08-10,Tuna Segar,0.5,96,4,darat,90.1,2.07,0.0,Tenang,26.4,Cerah Berawan,1,30.0,pasif,13.4,4.4,0.0927,16,37.43,Low
synthetic-013663,kombinasi-040,2024-08-10,Es Krim,-19.0,2160,2,kombinasi,3090.1,117.89,1.464,Sedang,8.11,Cerah Berawan,1,24.29,reefer,0.0,48.44,0.4023,13,73.37,Medium
synthetic-007267,laut-032,2024-08-10,Buah Potong Segar,3.0,48,4,laut,751.6,39.81,0.529,Rendah,5.0,Cerah Berawan,1,25.03,reefer,0.0,16.02,0.1557,19,53.95,Low
synthetic-006694,laut-024,2024-08-10,Ayam Segar,2.0,48,6,laut,1397.4,54.6,5.231,Sangat Tinggi,43.18,Hujan Badai,0,30.52,pasif,30.62,26.16,0.3664,10,93.33,High
synthetic-003051,darat-040,2024-08-11,Daging Sapi Segar,1.5,120,12,darat,420.6,9.77,0.0,Tenang,22.98,Cerah,1,30.0,pasif,30.51,8.23,0.0941,0,40.66,Low
synthetic-012904,kombinasi-031,2024-08-11,Es Krim,-19.0,2160,2,kombinasi,1066.9,47.38,2.826,Tinggi,27.7,Hujan Sedang,0,30.11,reefer,0.0,27.86,0.3651,14,87.04,High
synthetic-013954,kombinasi-044,2024-08-11,Susu Segar,2.5,168,8,kombinasi,2643.5,101.43,0.544,Rendah,9.86,Cerah Berawan,1,29.13,reefer,0.0,38.68,0.3419,19,66.81,Medium
synthetic-013822,kombinasi-043,2024-08-11,Buah Potong Segar,3.0,48,4,kombinasi,1581.0,65.97,1.767,Sedang,22.81,Berawan,1,29.44,reefer,0.0,25.06,0.2681,1,66.58,Medium
synthetic-010382,laut-078,2024-08-11,Sayuran Daun Segar,2.0,72,6,laut,3894.5,155.99,0.919,Rendah,6.63,Berawan,1,26.14,pasif,30.09,47.69,0.2429,10,73.33,Medium
synthetic-005245,laut-004,2024-08-11,Daging Sapi Segar,1.5,120,12,laut,3992.2,147.32,1.095,Rendah,8.11,Berawan,1,30.84,pasif,31.19,49.12,0.3181,23,73.33,Medium
synthetic-002888,darat-038,2024-08-11,Es Krim,-19.0,2160,2,darat,140.4,3.19,0.0,Tenang,7.29,Berawan,1,30.0,reefer,0.0,4.96,0.0781,16,37.71,Low
